Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Haiti,Personal Care,Offline,C,270072972,9449,81.73,56.67,772266.77,535474.83,236791.94
Europe,Czech Republic,Baby Food,Online,C,467312324,6956,255.28,159.42,1775727.68,1108925.52,666802.16
Middle East and North Africa,Azerbaijan,Fruits,Offline,C,878524148,3673,9.33,6.92,34269.09,25417.16,8851.93
Central America and the Caribbean,Antigua and Barbuda,Cosmetics,Online,C,375632274,6792,437.2,263.33,2969462.4,1788537.36,1180925.04
Sub-Saharan Africa,Senegal,Fruits,Offline,M,150873029,5537,9.33,6.92,51660.21,38316.04,13344.17
Sub-Saharan Africa,Malawi,Vegetables,Offline,C,566795241,6162,154.06,90.93,949317.72,560310.66,389007.06
Asia,Bhutan,Personal Care,Online,M,706260240,6954,81.73,56.67,568350.42,394083.18,174267.24
Europe,Slovenia,Clothes,Online,L,622441852,3231,109.28,35.84,353083.68,115799.04,237284.64
Middle East and North Africa,Azerbaijan,Beverages,Offline,H,888826406,2340,47.45,31.79,111033,74388.6,36644.4
Europe,Bulgaria,Meat,Online,C,349212729,8662,421.89,364.69,3654411.18,3158944.78,495466.4
Asia,Tajikistan,Meat,Offline,L,167712152,8607,421.89,364.69,3631207.23,3138886.83,492320.4
Middle East and North Africa,Egypt,Fruits,Offline,M,678748500,5619,9.33,6.92,52425.27,38883.48,13541.79
Australia and Oceania,Fiji,Household,Online,C,937058103,5171,668.27,502.54,3455624.17,2598634.34,856989.83
Middle East and North Africa,Turkey,Clothes,Online,M,967689788,9767,109.28,35.84,1067337.76,350049.28,717288.48
Sub-Saharan Africa,Togo,Cosmetics,Offline,L,416004884,3945,437.2,263.33,1724754,1038836.85,685917.15
Australia and Oceania,Tuvalu,Baby Food,Offline,C,797677218,9270,255.28,159.42,2366445.6,1477823.4,888622.2
Central America and the Caribbean,Belize,Snacks,Online,C,548693120,9342,152.58,97.44,1425402.36,910284.48,515117.88
Asia,South Korea,Fruits,Online,H,875351417,4791,9.33,6.92,44700.03,33153.72,11546.31
Sub-Saharan Africa,Gabon,Snacks,Online,H,804263436,8278,152.58,97.44,1263057.24,806608.32,456448.92
Europe,Hungary,Cosmetics,Online,H,332353007,9495,437.2,263.33,4151214,2500318.35,1650895.65
Europe,Slovakia,Meat,Offline,H,876856458,166,421.89,364.69,70033.74,60538.54,9495.2
Asia,Singapore,Vegetables,Online,M,325322616,9046,154.06,90.93,1393626.76,822552.78,571073.98
Asia,Myanmar,Household,Online,L,685612809,6921,668.27,502.54,4625096.67,3478079.34,1147017.33
Sub-Saharan Africa,Central African Republic,Beverages,Offline,M,435900866,1608,47.45,31.79,76299.6,51118.32,25181.28
Asia,Nepal,Baby Food,Online,C,374673116,2956,255.28,159.42,754607.68,471245.52,283362.16
Sub-Saharan Africa,Mauritius,Cereal,Offline,L,470728385,7845,205.7,117.11,1613716.5,918727.95,694988.55
Europe,Bulgaria,Beverages,Offline,C,313178002,5185,47.45,31.79,246028.25,164831.15,81197.1
Europe,Kosovo,Personal Care,Online,L,461445796,920,81.73,56.67,75191.6,52136.4,23055.2
Sub-Saharan Africa,Lesotho,Personal Care,Online,L,195268094,3023,81.73,56.67,247069.79,171313.41,75756.38
Central America and the Caribbean,El Salvador,Snacks,Offline,C,664693725,6499,152.58,97.44,991617.42,633262.56,358354.86
Sub-Saharan Africa,Mozambique,Snacks,Online,C,840084016,8384,152.58,97.44,1279230.72,816936.96,462293.76
Sub-Saharan Africa,Senegal,Cosmetics,Offline,L,662112796,2745,437.2,263.33,1200114,722840.85,477273.15
Australia and Oceania,Samoa,Vegetables,Online,C,591766393,5681,154.06,90.93,875214.86,516573.33,358641.53
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,H,260343635,322,109.28,35.84,35188.16,11540.48,23647.68
Asia,Japan,Meat,Offline,C,719455850,1829,421.89,364.69,771636.81,667018.01,104618.8
Europe,Spain,Cosmetics,Offline,C,391026866,2394,437.2,263.33,1046656.8,630412.02,416244.78
Asia,Laos,Personal Care,Offline,L,917293012,6241,81.73,56.67,510076.93,353677.47,156399.46
Australia and Oceania,Solomon Islands,Baby Food,Offline,L,410803115,4626,255.28,159.42,1180925.28,737476.92,443448.36
Europe,Germany,Vegetables,Offline,C,204418504,833,154.06,90.93,128331.98,75744.69,52587.29
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Online,C,801313006,5180,81.73,56.67,423361.4,293550.6,129810.8
Europe,Romania,Meat,Offline,L,524972951,17,421.89,364.69,7172.13,6199.73,972.4
Europe,Latvia,Beverages,Online,C,469197165,4723,47.45,31.79,224106.35,150144.17,73962.18
Middle East and North Africa,Jordan,Office Supplies,Offline,L,448096978,708,651.21,524.96,461056.68,371671.68,89385
Australia and Oceania,Fiji,Clothes,Online,H,346096217,6417,109.28,35.84,701249.76,229985.28,471264.48
Central America and the Caribbean,Cuba,Fruits,Online,H,567931210,2321,9.33,6.92,21654.93,16061.32,5593.61
Europe,Sweden,Household,Offline,H,688650786,5926,668.27,502.54,3960168.02,2978052.04,982115.98
Australia and Oceania,Marshall Islands,Baby Food,Online,M,803616273,6768,255.28,159.42,1727735.04,1078954.56,648780.48
North America,Greenland,Snacks,Offline,M,178501498,1415,152.58,97.44,215900.7,137877.6,78023.1
Sub-Saharan Africa,Mauritius,Cosmetics,Offline,H,399292790,8465,437.2,263.33,3700898,2229088.45,1471809.55
Sub-Saharan Africa,Comoros,Office Supplies,Online,L,422288978,3548,651.21,524.96,2310493.08,1862558.08,447935
Asia,Cambodia,Vegetables,Offline,C,624101388,4324,154.06,90.93,666155.44,393181.32,272974.12
Australia and Oceania,Marshall Islands,Cereal,Online,C,551653850,5488,205.7,117.11,1128881.6,642699.68,486181.92
Central America and the Caribbean,Dominica,Meat,Online,L,272182691,3762,421.89,364.69,1587150.18,1371963.78,215186.4
Europe,Macedonia,Office Supplies,Online,M,823236739,2900,651.21,524.96,1888509,1522384,366125
Sub-Saharan Africa,Mozambique,Personal Care,Offline,L,162677323,8690,81.73,56.67,710233.7,492462.3,217771.4
Central America and the Caribbean,The Bahamas,Household,Online,M,818678271,3948,668.27,502.54,2638329.96,1984027.92,654302.04
Europe,Armenia,Fruits,Offline,L,439725911,3524,9.33,6.92,32878.92,24386.08,8492.84
Asia,Japan,Beverages,Offline,H,344619071,9296,47.45,31.79,441095.2,295519.84,145575.36
Sub-Saharan Africa,Ghana,Baby Food,Offline,M,572469079,5177,255.28,159.42,1321584.56,825317.34,496267.22
Sub-Saharan Africa,Lesotho,Beverages,Offline,M,332699763,2108,47.45,31.79,100024.6,67013.32,33011.28
Europe,Cyprus,Snacks,Online,H,255047452,3064,152.58,97.44,467505.12,298556.16,168948.96
Australia and Oceania,Samoa,Cosmetics,Online,H,139560973,8048,437.2,263.33,3518585.6,2119279.84,1399305.76
Middle East and North Africa,Tunisia,Clothes,Online,M,306601655,9098,109.28,35.84,994229.44,326072.32,668157.12
Asia,Indonesia,Beverages,Offline,M,246843326,5280,47.45,31.79,250536,167851.2,82684.8
Asia,Singapore,Office Supplies,Online,M,871272313,7694,651.21,524.96,5010409.74,4039042.24,971367.5
Central America and the Caribbean,Panama,Fruits,Online,M,461187446,4469,9.33,6.92,41695.77,30925.48,10770.29
Sub-Saharan Africa,Burundi,Cosmetics,Offline,M,518200051,5766,437.2,263.33,2520895.2,1518360.78,1002534.42
Sub-Saharan Africa,Chad,Beverages,Offline,M,814233958,8777,47.45,31.79,416468.65,279020.83,137447.82
Asia,Japan,Cosmetics,Offline,H,741525495,2727,437.2,263.33,1192244.4,718100.91,474143.49
Europe,Malta,Meat,Offline,C,662623488,3870,421.89,364.69,1632714.3,1411350.3,221364
Europe,San Marino,Vegetables,Offline,M,560389268,492,154.06,90.93,75797.52,44737.56,31059.96
Middle East and North Africa,Morocco,Fruits,Offline,C,487996661,7911,9.33,6.92,73809.63,54744.12,19065.51
North America,Greenland,Vegetables,Online,L,118931996,3475,154.06,90.93,535358.5,315981.75,219376.75
Sub-Saharan Africa,Ethiopia,Cosmetics,Online,L,996994102,1565,437.2,263.33,684218,412111.45,272106.55
Asia,India,Personal Care,Online,C,686294305,8591,81.73,56.67,702142.43,486851.97,215290.46
Australia and Oceania,New Zealand,Baby Food,Offline,C,421256434,7995,255.28,159.42,2040963.6,1274562.9,766400.7
Asia,Bangladesh,Fruits,Online,L,156616818,5252,9.33,6.92,49001.16,36343.84,12657.32
Asia,Brunei,Vegetables,Online,C,817424285,2866,154.06,90.93,441535.96,260605.38,180930.58
Sub-Saharan Africa,Ethiopia,Cereal,Offline,M,249040162,5373,205.7,117.11,1105226.1,629232.03,475994.07
Europe,France,Office Supplies,Offline,C,867138278,4341,651.21,524.96,2826902.61,2278851.36,548051.25
Sub-Saharan Africa,Niger,Beverages,Offline,L,207704961,3368,47.45,31.79,159811.6,107068.72,52742.88
Central America and the Caribbean,Nicaragua,Vegetables,Offline,H,377039039,3085,154.06,90.93,475275.1,280519.05,194756.05
Asia,Kazakhstan,Cereal,Offline,H,401751840,6152,205.7,117.11,1265466.4,720460.72,545005.68
Sub-Saharan Africa,Lesotho,Clothes,Offline,L,278767192,2262,109.28,35.84,247191.36,81070.08,166121.28
Europe,Montenegro,Household,Online,H,525321424,3138,668.27,502.54,2097031.26,1576970.52,520060.74
Australia and Oceania,Vanuatu,Vegetables,Online,H,828963363,7535,154.06,90.93,1160842.1,685157.55,475684.55
Europe,Cyprus,Clothes,Online,H,497554337,6240,109.28,35.84,681907.2,223641.6,458265.6
Sub-Saharan Africa,Burundi,Fruits,Offline,M,709268176,7070,9.33,6.92,65963.1,48924.4,17038.7
Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,462591207,9873,152.58,97.44,1506422.34,962025.12,544397.22
Europe,Vatican City,Personal Care,Offline,M,626322257,1529,81.73,56.67,124965.17,86648.43,38316.74
Australia and Oceania,Tonga,Vegetables,Offline,M,789572656,950,154.06,90.93,146357,86383.5,59973.5
Europe,Netherlands,Baby Food,Offline,C,611766231,4077,255.28,159.42,1040776.56,649955.34,390821.22
Central America and the Caribbean,Honduras,Office Supplies,Offline,C,272639310,8885,651.21,524.96,5786000.85,4664269.6,1121731.25
Central America and the Caribbean,Honduras,Fruits,Online,H,922240722,379,9.33,6.92,3536.07,2622.68,913.39
Europe,Montenegro,Baby Food,Offline,H,630931794,5593,255.28,159.42,1427781.04,891636.06,536144.98
Europe,San Marino,Office Supplies,Offline,L,239386355,8597,651.21,524.96,5598452.37,4513081.12,1085371.25
Asia,Bangladesh,Clothes,Online,C,208590734,5488,109.28,35.84,599728.64,196689.92,403038.72
Sub-Saharan Africa,Cameroon,Personal Care,Offline,M,169843757,9397,81.73,56.67,768016.81,532527.99,235488.82
Asia,Philippines,Cereal,Online,H,274756753,5484,205.7,117.11,1128058.8,642231.24,485827.56
Middle East and North Africa,Iraq,Personal Care,Online,H,745253551,5942,81.73,56.67,485639.66,336733.14,148906.52
Sub-Saharan Africa,Lesotho,Cereal,Online,C,523570477,4994,205.7,117.11,1027265.8,584847.34,442418.46
Asia,Uzbekistan,Snacks,Online,H,422256362,3896,152.58,97.44,594451.68,379626.24,214825.44
Europe,Germany,Household,Offline,M,874172532,5933,668.27,502.54,3964845.91,2981569.82,983276.09
Australia and Oceania,Papua New Guinea,Household,Offline,C,582492816,1423,668.27,502.54,950948.21,715114.42,235833.79
Europe,Iceland,Personal Care,Offline,C,570703542,2715,81.73,56.67,221896.95,153859.05,68037.9
Europe,Hungary,Cosmetics,Online,M,132603538,9188,437.2,263.33,4016993.6,2419476.04,1597517.56
Central America and the Caribbean,Panama,Cereal,Offline,M,882304131,2254,205.7,117.11,463647.8,263965.94,199681.86
Middle East and North Africa,Tunisia,Baby Food,Online,M,904229152,355,255.28,159.42,90624.4,56594.1,34030.3
Middle East and North Africa,Iraq,Office Supplies,Offline,L,603114926,3964,651.21,524.96,2581396.44,2080941.44,500455
Sub-Saharan Africa,Liberia,Snacks,Online,H,454010283,587,152.58,97.44,89564.46,57197.28,32367.18
Europe,Czech Republic,Meat,Offline,L,552276551,9759,421.89,364.69,4117224.51,3559009.71,558214.8
Europe,Macedonia,Snacks,Offline,M,163587558,8048,152.58,97.44,1227963.84,784197.12,443766.72
Central America and the Caribbean,Haiti,Beverages,Offline,M,873929631,4053,47.45,31.79,192314.85,128844.87,63469.98
Sub-Saharan Africa,Mauritania,Cereal,Online,L,739601600,3404,205.7,117.11,700202.8,398642.44,301560.36
Sub-Saharan Africa,Nigeria,Cosmetics,Online,M,137214791,3761,437.2,263.33,1644309.2,990384.13,653925.07
Sub-Saharan Africa,Tanzania,Fruits,Offline,C,413693034,9817,9.33,6.92,91592.61,67933.64,23658.97
Asia,Laos,Fruits,Offline,H,736272656,8296,9.33,6.92,77401.68,57408.32,19993.36
Sub-Saharan Africa,Nigeria,Baby Food,Offline,L,342502486,2952,255.28,159.42,753586.56,470607.84,282978.72
Central America and the Caribbean,Dominica,Cosmetics,Offline,L,790243852,9572,437.2,263.33,4184878.4,2520594.76,1664283.64
Asia,Malaysia,Personal Care,Online,M,107670581,972,81.73,56.67,79441.56,55083.24,24358.32
Australia and Oceania,Nauru,Household,Online,H,443269002,2003,668.27,502.54,1338544.81,1006587.62,331957.19
Europe,Andorra,Baby Food,Offline,M,415837943,4543,255.28,159.42,1159737.04,724245.06,435491.98
Australia and Oceania,Papua New Guinea,Beverages,Offline,L,964488732,2504,47.45,31.79,118814.8,79602.16,39212.64
Europe,Hungary,Baby Food,Offline,H,398645198,6828,255.28,159.42,1743051.84,1088519.76,654532.08
Sub-Saharan Africa,Burundi,Fruits,Online,C,248043668,488,9.33,6.92,4553.04,3376.96,1176.08
North America,Canada,Cosmetics,Online,C,312732970,3490,437.2,263.33,1525828,919021.7,606806.3
Europe,Latvia,Personal Care,Offline,H,913074433,7870,81.73,56.67,643215.1,445992.9,197222.2
Middle East and North Africa,Iraq,Household,Offline,C,639741885,2695,668.27,502.54,1800987.65,1354345.3,446642.35
Sub-Saharan Africa,Angola,Office Supplies,Online,C,403721654,9064,651.21,524.96,5902567.44,4758237.44,1144330
Asia,Bhutan,Clothes,Offline,H,286312568,5106,109.28,35.84,557983.68,182999.04,374984.64
Europe,Andorra,Fruits,Offline,H,889125955,983,9.33,6.92,9171.39,6802.36,2369.03
Australia and Oceania,Australia,Beverages,Offline,M,184085643,3887,47.45,31.79,184438.15,123567.73,60870.42
Europe,Austria,Fruits,Offline,H,263427960,3042,9.33,6.92,28381.86,21050.64,7331.22
Asia,Sri Lanka,Beverages,Offline,H,589701735,4703,47.45,31.79,223157.35,149508.37,73648.98
Asia,Bhutan,Vegetables,Offline,C,245768296,7155,154.06,90.93,1102299.3,650604.15,451695.15
Australia and Oceania,Vanuatu,Beverages,Offline,L,184801471,5717,47.45,31.79,271271.65,181743.43,89528.22
Australia and Oceania,Solomon Islands,Baby Food,Online,M,980287587,7736,255.28,159.42,1974846.08,1233273.12,741572.96
Middle East and North Africa,Tunisia,Baby Food,Online,C,576025474,7593,255.28,159.42,1938341.04,1210476.06,727864.98
Asia,Bangladesh,Snacks,Online,H,136126458,1699,152.58,97.44,259233.42,165550.56,93682.86
Sub-Saharan Africa,Mali,Beverages,Online,L,895014369,3496,47.45,31.79,165885.2,111137.84,54747.36
Asia,Turkmenistan,Beverages,Online,C,107425534,8458,47.45,31.79,401332.1,268879.82,132452.28
Sub-Saharan Africa,Niger,Cosmetics,Offline,M,498408782,9089,437.2,263.33,3973710.8,2393406.37,1580304.43
Sub-Saharan Africa,Benin,Cosmetics,Online,M,813325440,9927,437.2,263.33,4340084.4,2614076.91,1726007.49
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,767849338,2537,255.28,159.42,647645.36,404448.54,243196.82
Middle East and North Africa,Algeria,Fruits,Offline,L,597966802,520,9.33,6.92,4851.6,3598.4,1253.2
Middle East and North Africa,United Arab Emirates,Personal Care,Online,C,609976661,4504,81.73,56.67,368111.92,255241.68,112870.24
Europe,Liechtenstein,Meat,Online,H,730490243,7151,421.89,364.69,3016935.39,2607898.19,409037.2
Middle East and North Africa,Yemen,Personal Care,Online,H,956431376,8153,81.73,56.67,666344.69,462030.51,204314.18
Europe,Poland,Cereal,Online,L,905036389,9234,205.7,117.11,1899433.8,1081393.74,818040.06
Australia and Oceania,Federated States of Micronesia,Meat,Offline,H,263854110,9149,421.89,364.69,3859871.61,3336548.81,523322.8
Central America and the Caribbean,Honduras,Baby Food,Online,C,140745866,8684,255.28,159.42,2216851.52,1384403.28,832448.24
Sub-Saharan Africa,Djibouti,Clothes,Online,C,813885486,5656,109.28,35.84,618087.68,202711.04,415376.64
Europe,Montenegro,Clothes,Online,C,381759297,9914,109.28,35.84,1083401.92,355317.76,728084.16
Europe,Belarus,Cosmetics,Offline,M,613166129,8338,437.2,263.33,3645373.6,2195645.54,1449728.06
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,Offline,H,197217309,9839,152.58,97.44,1501234.62,958712.16,542522.46
Central America and the Caribbean,The Bahamas,Clothes,Offline,M,593336665,359,109.28,35.84,39231.52,12866.56,26364.96
Europe,Ukraine,Office Supplies,Offline,M,181260526,7872,651.21,524.96,5126325.12,4132485.12,993840
Sub-Saharan Africa,Chad,Snacks,Online,L,111037719,7383,152.58,97.44,1126498.14,719399.52,407098.62
Asia,Tajikistan,Office Supplies,Online,M,253029572,5928,651.21,524.96,3860372.88,3111962.88,748410
Middle East and North Africa,Algeria,Clothes,Offline,H,547909915,7574,109.28,35.84,827686.72,271452.16,556234.56
Asia,Myanmar,Vegetables,Online,M,556665074,8421,154.06,90.93,1297339.26,765721.53,531617.73
Central America and the Caribbean,Dominican Republic,Household,Offline,L,810593879,1597,668.27,502.54,1067227.19,802556.38,264670.81
Middle East and North Africa,Oman,Clothes,Offline,L,561307656,2264,109.28,35.84,247409.92,81141.76,166268.16
Australia and Oceania,Fiji,Cosmetics,Offline,L,930730235,2614,437.2,263.33,1142840.8,688344.62,454496.18
Central America and the Caribbean,Barbados,Clothes,Online,L,861097943,6872,109.28,35.84,750972.16,246292.48,504679.68
Europe,Georgia,Snacks,Online,C,264959609,6291,152.58,97.44,959880.78,612995.04,346885.74
Europe,Malta,Fruits,Online,L,475176560,4159,9.33,6.92,38803.47,28780.28,10023.19
Europe,Armenia,Baby Food,Offline,H,194922626,791,255.28,159.42,201926.48,126101.22,75825.26
Europe,France,Snacks,Offline,M,447684133,8538,152.58,97.44,1302728.04,831942.72,470785.32
Europe,Liechtenstein,Personal Care,Online,H,527259910,6779,81.73,56.67,554047.67,384165.93,169881.74
Asia,Uzbekistan,Beverages,Online,M,247761285,6925,47.45,31.79,328591.25,220145.75,108445.5
Central America and the Caribbean,Nicaragua,Meat,Offline,C,393612086,7418,421.89,364.69,3129580.02,2705270.42,424309.6
Sub-Saharan Africa,Rwanda,Clothes,Offline,M,469548642,8732,109.28,35.84,954232.96,312954.88,641278.08
Asia,Vietnam,Fruits,Online,M,950619781,8373,9.33,6.92,78120.09,57941.16,20178.93
Sub-Saharan Africa,Guinea,Cosmetics,Offline,M,132186830,5875,437.2,263.33,2568550,1547063.75,1021486.25
Europe,Hungary,Baby Food,Online,M,879923617,7807,255.28,159.42,1992970.96,1244591.94,748379.02
Europe,Portugal,Snacks,Offline,H,279816472,2767,152.58,97.44,422188.86,269616.48,152572.38
Australia and Oceania,Solomon Islands,Beverages,Offline,C,888164222,6385,47.45,31.79,302968.25,202979.15,99989.1
Sub-Saharan Africa,Cote Hello,Cosmetics,Online,H,381578195,6322,437.2,263.33,2763978.4,1664772.26,1099206.14
Sub-Saharan Africa,Uganda,Household,Online,M,106982219,7271,668.27,502.54,4858991.17,3653968.34,1205022.83
Central America and the Caribbean,Haiti,Fruits,Offline,H,131612622,5954,9.33,6.92,55550.82,41201.68,14349.14
Europe,Cyprus,Snacks,Online,M,593018233,6128,152.58,97.44,935010.24,597112.32,337897.92
Europe,Macedonia,Baby Food,Online,H,349060380,3578,255.28,159.42,913391.84,570404.76,342987.08
Central America and the Caribbean,Trinidad and Tobago,Household,Online,M,127912890,1122,668.27,502.54,749798.94,563849.88,185949.06
Sub-Saharan Africa,Cape Verde,Cosmetics,Offline,C,278062093,3607,437.2,263.33,1576980.4,949831.31,627149.09
Central America and the Caribbean,Costa Rica,Fruits,Offline,H,318306815,2915,9.33,6.92,27196.95,20171.8,7025.15
Middle East and North Africa,Somalia,Cereal,Online,H,287758386,2956,205.7,117.11,608049.2,346177.16,261872.04
Asia,Brunei,Fruits,Offline,L,295840632,4672,9.33,6.92,43589.76,32330.24,11259.52
Asia,Taiwan,Beverages,Online,H,972289884,1038,47.45,31.79,49253.1,32998.02,16255.08
Middle East and North Africa,Afghanistan,Vegetables,Online,C,317154967,2058,154.06,90.93,317055.48,187133.94,129921.54
Central America and the Caribbean,Guatemala,Meat,Offline,H,450797212,9767,421.89,364.69,4120599.63,3561927.23,558672.4
Europe,Latvia,Household,Offline,C,863890445,3235,668.27,502.54,2161853.45,1625716.9,536136.55
Europe,Armenia,Personal Care,Online,C,667420995,3559,81.73,56.67,290877.07,201688.53,89188.54
Europe,Montenegro,Vegetables,Offline,H,842687690,8869,154.06,90.93,1366358.14,806458.17,559899.97
Australia and Oceania,East Timor,Personal Care,Offline,H,191301858,9326,81.73,56.67,762213.98,528504.42,233709.56
Middle East and North Africa,Lebanon,Cereal,Online,L,285187327,2123,205.7,117.11,436701.1,248624.53,188076.57
Central America and the Caribbean,Grenada,Meat,Offline,M,516580426,6483,421.89,364.69,2735112.87,2364285.27,370827.6
Sub-Saharan Africa,Seychelles,Meat,Offline,L,348029983,8661,421.89,364.69,3653989.29,3158580.09,495409.2
Central America and the Caribbean,Grenada,Office Supplies,Offline,L,662397325,6943,651.21,524.96,4521351.03,3644797.28,876553.75
Sub-Saharan Africa,Nigeria,Snacks,Offline,L,612856280,6647,152.58,97.44,1014199.26,647683.68,366515.58
Europe,San Marino,Beverages,Offline,L,772893178,5122,47.45,31.79,243038.9,162828.38,80210.52
Sub-Saharan Africa,Mauritius,Baby Food,Online,H,886306846,6746,255.28,159.42,1722118.88,1075447.32,646671.56
Asia,Indonesia,Vegetables,Online,C,317208611,7932,154.06,90.93,1222003.92,721256.76,500747.16
Sub-Saharan Africa,Republic of the Congo,Baby Food,Offline,L,300022304,2122,255.28,159.42,541704.16,338289.24,203414.92
Europe,Czech Republic,Snacks,Online,M,789484250,4789,152.58,97.44,730705.62,466640.16,264065.46
Sub-Saharan Africa,Republic of the Congo,Cereal,Offline,M,910643279,8438,205.7,117.11,1735696.6,988174.18,747522.42
Central America and the Caribbean,Saint Kitts and Nevis,Meat,Offline,L,308860719,7605,421.89,364.69,3208473.45,2773467.45,435006
Middle East and North Africa,Somalia,Snacks,Online,M,499810397,3858,152.58,97.44,588653.64,375923.52,212730.12
North America,Greenland,Clothes,Online,C,819478642,796,109.28,35.84,86986.88,28528.64,58458.24
Australia and Oceania,Palau,Baby Food,Offline,L,674164283,9048,255.28,159.42,2309773.44,1442432.16,867341.28
Sub-Saharan Africa,Mauritius,Cereal,Offline,L,890478646,1275,205.7,117.11,262267.5,149315.25,112952.25
Sub-Saharan Africa,Mauritania,Meat,Online,M,565345561,7170,421.89,364.69,3024951.3,2614827.3,410124
North America,Canada,Household,Online,H,216001355,8456,668.27,502.54,5650891.12,4249478.24,1401412.88
Australia and Oceania,Palau,Beverages,Online,M,429994857,3888,47.45,31.79,184485.6,123599.52,60886.08
Australia and Oceania,Solomon Islands,Office Supplies,Online,C,515187394,4253,651.21,524.96,2769596.13,2232654.88,536941.25
Sub-Saharan Africa,Nigeria,Office Supplies,Online,L,749752795,7368,651.21,524.96,4798115.28,3867905.28,930210
Sub-Saharan Africa,Comoros,Beverages,Offline,M,132177388,3081,47.45,31.79,146193.45,97944.99,48248.46
Asia,Thailand,Baby Food,Online,L,431260001,8273,255.28,159.42,2111931.44,1318881.66,793049.78
Europe,Vatican City,Personal Care,Offline,M,336111962,1854,81.73,56.67,151527.42,105066.18,46461.24
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Online,M,406157100,9766,81.73,56.67,798175.18,553439.22,244735.96
Europe,San Marino,Household,Offline,H,821131742,9985,668.27,502.54,6672675.95,5017861.9,1654814.05
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,Online,M,931084716,7513,81.73,56.67,614037.49,425761.71,188275.78
Sub-Saharan Africa,Seychelles,Baby Food,Offline,H,606377351,9388,255.28,159.42,2396568.64,1496634.96,899933.68
Sub-Saharan Africa,Togo,Vegetables,Online,L,687683475,9677,154.06,90.93,1490838.62,879929.61,610909.01
Middle East and North Africa,Somalia,Cosmetics,Offline,C,735989415,4478,437.2,263.33,1957781.6,1179191.74,778589.86
Central America and the Caribbean,Antigua and Barbuda,Snacks,Offline,M,382594001,6922,152.58,97.44,1056158.76,674479.68,381679.08
Europe,Liechtenstein,Household,Online,M,679108560,2169,668.27,502.54,1449477.63,1090009.26,359468.37
Sub-Saharan Africa,Equatorial Guinea,Beverages,Online,M,947456920,2412,47.45,31.79,114449.4,76677.48,37771.92
Europe,Lithuania,Personal Care,Offline,L,129875409,1875,81.73,56.67,153243.75,106256.25,46987.5
Central America and the Caribbean,Panama,Baby Food,Offline,H,838912856,1811,255.28,159.42,462312.08,288709.62,173602.46
North America,United States of America,Beverages,Offline,C,807430589,5509,47.45,31.79,261402.05,175131.11,86270.94
Sub-Saharan Africa,Angola,Office Supplies,Online,L,538602435,3284,651.21,524.96,2138573.64,1723968.64,414605
Europe,Ireland,Fruits,Offline,H,155914723,7486,9.33,6.92,69844.38,51803.12,18041.26
Europe,Spain,Fruits,Online,H,753166282,7495,9.33,6.92,69928.35,51865.4,18062.95
Sub-Saharan Africa,Chad,Baby Food,Online,C,344468438,4721,255.28,159.42,1205176.88,752621.82,452555.06
Asia,Malaysia,Cosmetics,Offline,L,614245021,7606,437.2,263.33,3325343.2,2002887.98,1322455.22
Central America and the Caribbean,Belize,Fruits,Online,L,167232358,6626,9.33,6.92,61820.58,45851.92,15968.66
Central America and the Caribbean,Antigua and Barbuda,Snacks,Online,C,378479278,9284,152.58,97.44,1416552.72,904632.96,511919.76
Europe,Andorra,Cereal,Offline,M,443347108,5116,205.7,117.11,1052361.2,599134.76,453226.44
Europe,Iceland,Office Supplies,Online,C,527509677,691,651.21,524.96,449986.11,362747.36,87238.75
Europe,Ireland,Beverages,Offline,H,416953313,4606,47.45,31.79,218554.7,146424.74,72129.96
Middle East and North Africa,Libya,Beverages,Online,M,867976844,2491,47.45,31.79,118197.95,79188.89,39009.06
Sub-Saharan Africa,Burkina Faso,Vegetables,Offline,M,457191598,2008,154.06,90.93,309352.48,182587.44,126765.04
Australia and Oceania,Solomon Islands,Fruits,Offline,H,531521403,7850,9.33,6.92,73240.5,54322,18918.5
Middle East and North Africa,Oman,Office Supplies,Online,L,258202588,6738,651.21,524.96,4387852.98,3537180.48,850672.5
Sub-Saharan Africa,Sierra Leone,Snacks,Online,M,674783980,2430,152.58,97.44,370769.4,236779.2,133990.2
Europe,Bosnia and Herzegovina,Cereal,Online,C,639126908,710,205.7,117.11,146047,83148.1,62898.9
Europe,Belarus,Beverages,Online,L,879405200,4396,47.45,31.79,208590.2,139748.84,68841.36
Europe,Slovenia,Beverages,Offline,H,844105184,8337,47.45,31.79,395590.65,265033.23,130557.42
Australia and Oceania,Kiribati,Household,Offline,C,952025687,4412,668.27,502.54,2948407.24,2217206.48,731200.76
Central America and the Caribbean,Costa Rica,Office Supplies,Online,C,342278039,6533,651.21,524.96,4254354.93,3429563.68,824791.25
